--- Sandbox Network Analysis: 16-03-2026_16-21-13 ---

[16:21:14] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:21:14] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:21:16] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:21:16] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:21:16] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:21:16] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:21:16] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:21:16] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:21:16] 192.168.56.101 -> 101.132.153.5 | BLOCKED
[16:21:16] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:21:16] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:21:16] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:21:16] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:21:16] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:21:16] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:21:16] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:21:16] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:21:16] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:21:16] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:21:16] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:21:16] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:21:16] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:21:16] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:21:16] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:21:28] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:21:28] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:21:28] 192.168.56.101 -> 101.132.153.5 | BLOCKED
[16:21:28] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:21:28] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:21:28] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:21:28] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:21:28] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:21:28] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:21:28] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:21:28] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:21:28] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:21:28] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:21:28] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:21:28] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:21:28] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:21:40] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:21:40] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:21:40] 192.168.56.101 -> 101.132.153.5 | BLOCKED
[16:21:40] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:21:40] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:21:40] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:21:40] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:21:40] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:21:40] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:21:40] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:21:40] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:21:40] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:21:40] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:21:40] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:21:40] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[16:21:40] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:21:40] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[16:21:40] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
