--- Sandbox Network Analysis: 22-03-2026_14-32-03 ---

[14:32:03] 192.168.56.1 -> 192.168.56.101 | UNAUTHORIZED
[14:32:03] 192.168.56.101 -> 192.168.56.1 | UNAUTHORIZED
[14:32:04] 192.168.56.101 -> 101.132.153.5 | UNAUTHORIZED
[14:32:24] 192.168.56.101 -> 136.0.213.250 | BLOCKED
[14:32:53] 192.168.56.101 -> 8.8.8.8 | ALLOWED
[14:33:03] 192.168.56.101 -> 147.182.169.126 | BLOCKED
[14:33:15] 192.168.56.101 -> 47.237.17.191 | BLOCKED
[14:33:25] 192.168.56.101 -> 5.187.35.166 | BLOCKED
[14:33:35] 192.168.56.101 -> 193.161.193.99 | BLOCKED
