--- Sandbox Network Analysis: 26-02-2026_14-50-31 ---

[14:50:34] 172.17.0.2 -> 8.8.8.8 | ALLOWED
[14:50:35] 172.17.0.2 -> 8.8.8.8 | ALLOWED
[14:50:36] 172.17.0.2 -> 8.8.8.8 | ALLOWED
[14:50:38] 172.17.0.2 -> 140.82.114.22 | UNAUTHORIZED
[14:50:38] 140.82.114.22 -> 172.17.0.2 | UNAUTHORIZED
[14:50:38] 172.17.0.2 -> 140.82.114.22 | UNAUTHORIZED
[14:50:38] 172.17.0.2 -> 140.82.114.22 | UNAUTHORIZED
[14:50:38] 140.82.114.22 -> 172.17.0.2 | UNAUTHORIZED
[14:50:38] 140.82.114.22 -> 172.17.0.2 | UNAUTHORIZED
[14:50:38] 172.17.0.2 -> 140.82.114.22 | UNAUTHORIZED
[14:50:38] 140.82.114.22 -> 172.17.0.2 | UNAUTHORIZED
[14:50:38] 172.17.0.2 -> 140.82.114.22 | UNAUTHORIZED
[14:50:38] 140.82.114.22 -> 172.17.0.2 | UNAUTHORIZED
[14:50:38] 172.17.0.2 -> 140.82.114.22 | UNAUTHORIZED
[14:50:39] 172.17.0.2 -> 43.249.175.199 | BLOCKED (MALICIOUS)
[14:50:45] 43.249.175.199 -> 172.17.0.2 | BLOCKED (MALICIOUS)
[14:50:56] 8.8.8.8 -> 172.17.0.2 | UNAUTHORIZED
