--- Sandbox Network Analysis: 26-02-2026_12-42-09 ---

[12:42:12] 172.17.0.2 -> 8.8.8.8 | ALLOWED
[12:42:13] 172.17.0.2 -> 8.8.8.8 | ALLOWED
[12:42:14] 172.17.0.2 -> 8.8.8.8 | ALLOWED
[12:42:16] 172.17.0.2 -> 140.82.114.22 | UNAUTHORIZED
[12:42:16] 140.82.114.22 -> 172.17.0.2 | UNAUTHORIZED
[12:42:16] 172.17.0.2 -> 140.82.114.22 | UNAUTHORIZED
[12:42:16] 172.17.0.2 -> 140.82.114.22 | UNAUTHORIZED
[12:42:16] 140.82.114.22 -> 172.17.0.2 | UNAUTHORIZED
[12:42:16] 140.82.114.22 -> 172.17.0.2 | UNAUTHORIZED
[12:42:16] 172.17.0.2 -> 140.82.114.22 | UNAUTHORIZED
[12:42:16] 140.82.114.22 -> 172.17.0.2 | UNAUTHORIZED
[12:42:16] 172.17.0.2 -> 140.82.114.22 | UNAUTHORIZED
[12:42:16] 140.82.114.22 -> 172.17.0.2 | UNAUTHORIZED
[12:42:16] 172.17.0.2 -> 140.82.114.22 | UNAUTHORIZED
[12:42:17] 172.17.0.2 -> 44.236.186.200 | UNAUTHORIZED
[12:42:18] 172.17.0.2 -> 44.236.186.200 | UNAUTHORIZED
[12:42:19] 172.17.0.2 -> 44.236.186.200 | UNAUTHORIZED
[12:42:33] 8.8.8.8 -> 172.17.0.2 | UNAUTHORIZED
[12:42:38] 44.236.186.200 -> 172.17.0.2 | UNAUTHORIZED
