--- Sandbox Network Analysis: 26-02-2026_14-48-12 ---

[14:48:15] 172.17.0.2 -> 8.8.8.8 | ALLOWED
[14:48:16] 172.17.0.2 -> 8.8.8.8 | ALLOWED
[14:48:17] 172.17.0.2 -> 8.8.8.8 | ALLOWED
[14:48:19] 172.17.0.2 -> 140.82.114.22 | UNAUTHORIZED
[14:48:19] 140.82.114.22 -> 172.17.0.2 | UNAUTHORIZED
[14:48:19] 172.17.0.2 -> 140.82.114.22 | UNAUTHORIZED
[14:48:19] 172.17.0.2 -> 140.82.114.22 | UNAUTHORIZED
[14:48:19] 140.82.114.22 -> 172.17.0.2 | UNAUTHORIZED
[14:48:19] 140.82.114.22 -> 172.17.0.2 | UNAUTHORIZED
[14:48:19] 172.17.0.2 -> 140.82.114.22 | UNAUTHORIZED
[14:48:19] 140.82.114.22 -> 172.17.0.2 | UNAUTHORIZED
[14:48:19] 172.17.0.2 -> 140.82.114.22 | UNAUTHORIZED
[14:48:19] 140.82.114.22 -> 172.17.0.2 | UNAUTHORIZED
[14:48:19] 172.17.0.2 -> 140.82.114.22 | UNAUTHORIZED
[14:48:20] 172.17.0.2 -> 44.236.186.200 | UNAUTHORIZED
[14:48:21] 172.17.0.2 -> 44.236.186.200 | UNAUTHORIZED
[14:48:22] 172.17.0.2 -> 44.236.186.200 | UNAUTHORIZED
[14:48:37] 8.8.8.8 -> 172.17.0.2 | UNAUTHORIZED
[14:48:42] 44.236.186.200 -> 172.17.0.2 | UNAUTHORIZED
